,Name,City,Price,Star_Rating,Property_Demand,Property_id,Customers_Rating,Customers_Review,Type_of_room,reservations_Payment,Canelation,Max_persons,Bed_type,Tax,Review_title,Credit_card,Breakfst_included,Longitude_x,Latitude_y,Link
810,أبهى رفاف, Abha,SAR 102,0,Only 3 like this left on our site,5318469,8.2, 100 reviews ,Double Room with Private Bathroom,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)", +SAR 8 taxes and charges  , Very good ,Reservation possible without a credit card,null,42.5217915030327,18.2237938618985,https://www.booking.com/hotel/sa/bh-rff.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=531846903_233996280_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=811&highlighted_blocks=531846903_233996280_2_0_0&hpos=11&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=531846903_233996280_2_0_0__10200&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
811,Al Eairy Apartments - Al Ahsa 2, Al Ahsa,SAR 102,0,Only 3 like this left on our site,2231741,5.4, 268 reviews ,Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)", +SAR 8 taxes and charges  , Review score ,Reservation possible without a credit card,null,49.5619225254334,25.4207400412669,https://www.booking.com/hotel/sa/al-eairy-apartments-al-ahsa-2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=223174101_101119012_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=812&highlighted_blocks=223174101_101119012_2_0_0&hpos=12&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=223174101_101119012_2_0_0__10200&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
812,Al Eairy Apartments - Jazan 3, Jazan,SAR 102,0,Only 3 like this left on our site,2231819,5.5, 493 reviews ,Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)", +SAR 8 taxes and charges  , Review score ,Reservation possible without a credit card,null,42.5814923725829,16.8912827340141,https://www.booking.com/hotel/sa/al-eairy-apartments-jazan-3.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=223181901_101112062_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=813&highlighted_blocks=223181901_101112062_0_0_0&hpos=13&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=223181901_101112062_0_0_0__10200&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
813,Hona Al Holm Furnished Units, Dammam,SAR 103,0,Only 4 like this left on our site,1344589,8, 657 reviews ,Studio,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 8 taxes and charges  , Very good ,Reservation possible without a credit card,null,50.0189226865768,26.4189892929156,https://www.booking.com/hotel/sa/hn-lhlm-lljnh-lfndqy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=134458903_94041774_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=814&highlighted_blocks=134458903_94041774_2_0_0&hpos=14&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=134458903_94041774_2_0_0__10300&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
814,OYO 301 Asfrine Hotel Apartment, Tabuk,SAR 103,0,Only 6 like this left on our site,2049159,7.2, 85 reviews , Standard Studio Double,null,null,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 8 taxes and charges  , Good ,null,null,36.5671286545694,28.4258773386012,https://www.booking.com/hotel/sa/as-sfrane-apart.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=204915904_253265741_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=815&highlighted_blocks=204915904_253265741_2_0_0&hpos=15&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=204915904_253265741_2_0_0__10339&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
815,Tera Al Salam Hotel, Makkah,SAR 104,0,null,2358117,6.1, 880 reviews ,Economy Triple Room,No prepayment needed,FREE cancellation,Max persons: 3,"3 beds
(3 singles)", +SAR 8 taxes and charges  , Review score ,null,null,39.8701170086861,21.4039291299799,https://www.booking.com/hotel/sa/teira.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=235811714_239863242_3_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=816&highlighted_blocks=235811714_239863242_3_0_0&hpos=16&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=235811714_239863242_3_0_0__10350&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
816,Lina Park 2, Dammam,SAR 104,0,Only 5 like this left on our site,2470425,8, 297 reviews ,Deluxe Studio,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 5 taxes and charges  , Very good ,null,null,50.0738751877716,26.3913131493591,https://www.booking.com/hotel/sa/lina-park-2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=247042501_233217554_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=817&highlighted_blocks=247042501_233217554_0_0_0&hpos=17&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=247042501_233217554_0_0_0__10400&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
817,Kenanah Jeddah Hotel, Jeddah,SAR 104,0,Only 4 rooms like this left on our site,493138,6.4, 507 reviews ,Double or Twin Room,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 5 taxes and charges  , Review score ,Reservation possible without a credit card,null,39.195436835289,21.501660030249,https://www.booking.com/hotel/sa/louts-jeddah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=49313801_167610950_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=818&highlighted_blocks=49313801_167610950_0_0_0&hpos=18&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=49313801_167610950_0_0_0__10400&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
818,OYO 200 Majestic Homes," Al Olayya, Al Khobar",SAR 104,0,Only 4 like this left on our site,1137495,7.7, 403 reviews ,Standard Studio,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 8 taxes and charges  , Good ,Reservation possible without a credit card,null,50.1766218245029,26.2957451356902,https://www.booking.com/hotel/sa/majestic-homes-bywtt-lfkhm.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=113749505_168095485_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=819&highlighted_blocks=113749505_168095485_2_0_0&hpos=19&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=113749505_168095485_2_0_0__10428&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
819,المنزل الهادئ 3," Al Tahlia Street, Jeddah",SAR 105,0,Only 3 rooms like this left on our site,5654711,8.2, 206 reviews ,Standard Single Room,No prepayment needed,FREE cancellation,Max persons: 3,"1 bed
(1 single)", +SAR 5 taxes and charges  , Very good ,Reservation possible without a credit card,null,39.2157020552254,21.5652923082876,https://www.booking.com/hotel/sa/lmnzl-lhdy-3.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=565471103_214378630_3_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=820&highlighted_blocks=565471103_214378630_3_0_0&hpos=20&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=565471103_214378630_3_0_0__10450&srepoch=1587183149&srpvid=551f1d9687bc002d&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
