,Name,City,Price,Star_Rating,Property_Demand,Property_id,Customers_Rating,Customers_Review,Type_of_room,reservations_Payment,Canelation,Max_persons,Bed_type,Tax,Review_title,Credit_card,Breakfst_included,Longitude_x,Latitude_y,Link
430,Joury Ajyad," Ajyad, Makkah",SAR 280,3,null,5999973,,null,Deluxe Room (2 Adults + 1 Child),null,null,Max persons: 2,"2 beds
(2 singles)", includes taxes and charges ,null,Reservation possible without a credit card,null,39.8298607619018,21.4068000135278,https://www.booking.com/hotel/sa/jwry-jyd.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=599997301_235350784_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=431&highlighted_blocks=599997301_235350784_0_0_0&hpos=6&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=599997301_235350784_0_0_0__27999&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
431,Viola Hotel, Jazan,SAR 280,3,Only 1 left like this on our site,3860441,8.4, 705 reviews ,Studio,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(1 extra-large double, 1 sofa bed)", includes taxes and charges , Very good ,Reservation possible without a credit card,null,42.5522224023857,16.9337738938182,https://www.booking.com/hotel/sa/sm-jyzn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=386044101_122819224_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=432&highlighted_blocks=386044101_122819224_0_2_0&hpos=7&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=386044101_122819224_0_2_0__28024&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
432,Executives Hotel - Azizia," Al Aziziyah, Riyadh",SAR 288,3,null,299896,8.2," 2,146 reviews ",Standard Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 22 taxes and charges  , Very good ,Reservation possible without a credit card,null,46.7446964979172,24.5969191749926,https://www.booking.com/hotel/sa/executives-azizia.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=29989601_93319561_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=433&highlighted_blocks=29989601_93319561_0_2_0&hpos=8&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=29989601_93319561_0_2_0__28800&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
433,Mercure Jeddah Al Hamra," Al Hamra, Jeddah",SAR 293,3,Only 7 rooms like this left on our site,623070,7.9," 1,897 reviews ",Superior Room with Twin beds,null,null,Max persons: 2,"2 beds
(2 singles)", +SAR 22 taxes and charges  , Good ,null,null,39.1594952344894,21.5156543782408,https://www.booking.com/hotel/sa/mercure-jeddah-al-hamra.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=62307002_94498002_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=434&highlighted_blocks=62307002_94498002_2_42_0&hpos=9&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=62307002_94498002_2_42_0__29250&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
434,Swiss Spirit Hotel & Suites Metropolitan, Riyadh,SAR 293,3,Only 7 rooms like this left on our site,2541447,8.1, 994 reviews ,Deluxe Twin Room,null,null,Max persons: 2,"2 beds
(2 singles)", +SAR 22 taxes and charges  , Very good ,Reservation possible without a credit card,null,46.625601,24.806781,https://www.booking.com/hotel/sa/swiss-spirit-metropolitan-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=254144705_103954611_2_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=435&highlighted_blocks=254144705_103954611_2_2_0&hpos=10&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=254144705_103954611_2_2_0__29250&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
435,Al Rawda Al Aqeeq Hotel," Central Madinah, Al Madinah",SAR 293,3,null,2022848,7.1," 2,036 reviews ",Quadruple Room,null,null,Max persons: 4,"4 beds
(4 singles)", +SAR 22 taxes and charges  , Good ,null,null,39.6042489409774,24.4681458501606,https://www.booking.com/hotel/sa/rawdat-al-aqiq-al-madinah1.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=202284804_163275156_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=436&highlighted_blocks=202284804_163275156_0_2_0&hpos=11&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=202284804_163275156_0_2_0__29300&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
436,Aber Yasmin, Riyadh,SAR 295,3,Only 4 rooms like this left on our site,2624392,8.6," 2,030 reviews ",Standard Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 22 taxes and charges  , Fabulous ,null,null,46.648405702369,24.820198053858,https://www.booking.com/hotel/sa/aber-101-hotels.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=262439202_183446843_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=437&highlighted_blocks=262439202_183446843_0_0_0&hpos=12&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=262439202_183446843_0_0_0__29500&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
437,Aber Al Sahafa, Riyadh,SAR 295,3,Only 2 rooms like this left on our site,2822128,8.2," 1,496 reviews ",Twin Room,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 22 taxes and charges  , Very good ,null,null,46.6412978484796,24.81862538777,https://www.booking.com/hotel/sa/aber-102.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=282212801_230145021_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=438&highlighted_blocks=282212801_230145021_2_0_0&hpos=13&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=282212801_230145021_2_0_0__29500&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
438,Hawthorn Suites by Wyndham Al Khobar, Al Khobar,SAR 296,3,Only 2 like this left on our site,1142121,7.4, 674 reviews ,Junior Suite,null,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 23 taxes and charges  , Good ,null,null,50.2184468507767,26.2874319549593,https://www.booking.com/hotel/sa/hawthorn-suites-by-wyndham-al-khobar.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=114212108_246104260_2_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=439&highlighted_blocks=114212108_246104260_2_2_0&hpos=14&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=114212108_246104260_2_2_0__29610&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
439,VERTA Jeddah Hotel فندق فيرتا جدة, Jeddah,SAR 299,3,Only 1 room left like this on our site,4972413,8.3, 385 reviews ,Standard King Room,null,null,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 22 taxes and charges  , Very good ,Reservation possible without a credit card,null,39.1355095552979,21.6550777539615,https://www.booking.com/hotel/sa/verta-jeddah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=497241324_240910820_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=440&highlighted_blocks=497241324_240910820_2_42_0&hpos=15&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=497241324_240910820_2_42_0__29900&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
440,Saf Hotel, Baljurashi,SAR 300,3,Only 3 rooms like this left on our site,1854135,6.6, 174 reviews ,Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 23 taxes and charges  , Review score ,Reservation possible without a credit card,null,41.565996799618,19.8935910513786,https://www.booking.com/hotel/sa/saf.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=185413505_233696182_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=441&highlighted_blocks=185413505_233696182_2_0_0&hpos=16&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=185413505_233696182_2_0_0__30000&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
441,Baraket Al Saada Hotel, Sulţānah,SAR 300,3,Only 1 room left like this on our site,5829711,6.5, 8 reviews ,Quadruple Room,No prepayment needed,FREE cancellation,Max persons: 4,"4 beds
(4 singles)", +SAR 30 taxes and charges  , Review score ,Reservation possible without a credit card,null,39.6030982751045,24.4678791659569,https://www.booking.com/hotel/sa/baraket-al-saada-formerly-al-sadda-al-massi.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=582971102_233205097_4_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=442&highlighted_blocks=582971102_233205097_4_0_0&hpos=17&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=582971102_233205097_4_0_0__30000&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
442,شقق الوافي, Al Ula,SAR 300,0,Only 1 left like this on our site,5953902,6.2, 24 reviews ,Two-Bedroom Apartment,null,null,Max persons: 4,"4 beds
(4 singles)", +SAR 0 taxes and charges  , Review score ,Reservation possible without a credit card,null,37.9571760958672,26.5611742718319,https://www.booking.com/hotel/sa/shqq-lwfy-al-ula.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=595390201_238039579_4_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=443&highlighted_blocks=595390201_238039579_4_0_0&hpos=18&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=595390201_238039579_4_0_0__30000&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
443,منتجع ريف جبل دكا, الطائف,SAR 300,0,Only 1 left like this on our site,5169953,7.8, 27 reviews ,Holiday Home,null,null,Max persons: 5,"4 beds
(3 sofa beds, 1 large double)", includes taxes and charges , Good ,Reservation possible without a credit card,null,40.278525,21.095688,https://www.booking.com/hotel/sa/mntj-ryf-jbl-dk.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=516995303_237648518_5_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=444&highlighted_blocks=516995303_237648518_5_0_0&hpos=19&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=516995303_237648518_5_0_0__30000&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
444,Masayef Jeddah Al Gharbeah, Jeddah,SAR 312,3,null,6293952,,null,Deluxe Apartment,No prepayment needed,FREE cancellation,Max persons: 7,"6 beds
(2 singles, 1 double, 3 sofa beds)", includes taxes and charges ,null,Reservation possible without a credit card,null,39.190779,21.554337,https://www.booking.com/hotel/sa/masayef-jeddah-al-gharbeah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=629395202_245334592_7_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=445&highlighted_blocks=629395202_245334592_7_0_0&hpos=20&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=629395202_245334592_7_0_0__31199&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
445,Aquila Hotel," Al Hamra, Jeddah",SAR 315,3,Only 3 rooms like this left on our site,3580795,8.5," 1,586 reviews ",Deluxe Twin Room,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 24 taxes and charges  , Very good ,Reservation possible without a credit card,null,39.1602433899689,21.5205685970802,https://www.booking.com/hotel/sa/aquila.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=358079506_208636299_2_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=446&highlighted_blocks=358079506_208636299_2_2_0&hpos=21&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=358079506_208636299_2_2_0__31500&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
446,Sixty Three Hotel Suites ثلاثة وستون أجنحة فندقية," Al Olaya, Riyadh",SAR 315,0,Only 1 left like this on our site,5727335,7.4, 34 reviews ,One-Bedroom Apartment,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", includes taxes and charges , Good ,null,null,46.696725629425,24.68347260221,https://www.booking.com/hotel/sa/sixty-three-suites-st-wthlthwn-jnh-fndqy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=572733505_230717897_2_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=447&highlighted_blocks=572733505_230717897_2_2_0&hpos=22&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=572733505_230717897_2_2_0__31500&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
447,OYO 357 Blue Diamond Hotel, Al Madinah,SAR 319,3,null,3941558,6.7, 112 reviews ,Standard Studio,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 24 taxes and charges  , Review score ,Reservation possible without a credit card,null,39.6441497836151,24.4836029936778,https://www.booking.com/hotel/sa/blue-dimond.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=394155805_239504876_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=448&highlighted_blocks=394155805_239504876_2_0_0&hpos=23&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=394155805_239504876_2_0_0__31947&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
448,Rose White Hotel," Al Rawda, Jeddah",SAR 320,3,Only 3 rooms like this left on our site,2737157,8.5, 420 reviews ,Twin Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 single)", +SAR 24 taxes and charges  , Very good ,Reservation possible without a credit card,Breakfast included,39.156079,21.578033,https://www.booking.com/hotel/sa/rose-white.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=273715701_106463730_0_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=449&highlighted_blocks=273715701_106463730_0_1_0&hpos=24&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=273715701_106463730_0_1_0__32000&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
449,Arkan Bakkah Hotel," Al Aziziyah, Makkah",SAR 325,3,null,1292482,7.8," 1,144 reviews ",Twin Room,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 24 taxes and charges  , Good ,Reservation possible without a credit card,Breakfast included,39.8503786325455,21.4210183183946,https://www.booking.com/hotel/sa/arkan-bakkah-mecca28.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=129248205_212616255_0_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=450&highlighted_blocks=129248205_212616255_0_1_0&hpos=25&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=129248205_212616255_0_1_0__32520&srepoch=1587182998&srpvid=e2bb1d4ad9f40083&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
450,شاليهات أوسلو, Buraydah,SAR 326,0,Only 2 like this left on our site,5397264,7.5, 53 reviews ,Apartment with Pool View ,null,FREE cancellation,Max persons: 2,"15 beds
(2 singles, 1 extra-large double, 12 sofa beds)", includes taxes and charges , Good ,Reservation possible without a credit card,null,43.9087859629516,26.2536827946639,https://www.booking.com/hotel/sa/shlyht-wslw.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=539726401_212468459_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=451&highlighted_blocks=539726401_212468459_2_0_0&hpos=1&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=539726401_212468459_2_0_0__32550&srepoch=1587183007&srpvid=d7691d4fd2750054&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
451,Aloft Riyadh Hotel," Al Olaya, Riyadh",SAR 340,3,Only 5 rooms like this left on our site,1908401,8.3," 1,875 reviews ","Aloft Room, Guest room, 1 King",null,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 26 taxes and charges  , Very good ,null,null,46.6925128698131,24.6797758644171,https://www.booking.com/hotel/sa/aloft-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=190840112_251373417_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=452&highlighted_blocks=190840112_251373417_0_2_0&hpos=2&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=190840112_251373417_0_2_0__34000&srepoch=1587183007&srpvid=d7691d4fd2750054&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
452,رواسي رند للوحدات السكنيه, Unayzah,SAR 340,3,Only 3 like this left on our site,6185841,,null,Apartment,No prepayment needed,FREE cancellation,Max persons: 5,"4 beds
(3 singles, 1 sofa bed)", +SAR 0 taxes and charges  ,null,Reservation possible without a credit card,null,43.983509,26.110011,https://www.booking.com/hotel/sa/rwsy-rnd-llwhdt-lsknyh-unayzah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=618584101_241455009_5_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=453&highlighted_blocks=618584101_241455009_5_0_0&hpos=3&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=618584101_241455009_5_0_0__34000&srepoch=1587183007&srpvid=d7691d4fd2750054&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
453,"Radisson Blu Hotel, Yanbu", Yanbu,SAR 342,3,null,73323,7," 1,279 reviews ",Standard Room,null,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 26 taxes and charges  , Good ,null,null,38.0864667892456,24.0659404240286,https://www.booking.com/hotel/sa/radisson-sas-yanbu.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=7332307_255465511_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=454&highlighted_blocks=7332307_255465511_2_42_0&hpos=4&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=7332307_255465511_2_42_0__34200&srepoch=1587183007&srpvid=d7691d4fd2750054&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
454,Meral Crown Hotel, Riyadh,SAR 344,3,Only 3 like this left on our site,507141,7.8, 831 reviews ,Junior Suite,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)", +SAR 34 taxes and charges  , Good ,Reservation possible without a credit card,null,46.7376798391342,24.7904480281747,https://www.booking.com/hotel/sa/meral-crown.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=50714104_203665902_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=455&highlighted_blocks=50714104_203665902_0_42_0&hpos=5&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=50714104_203665902_0_42_0__34400&srepoch=1587183007&srpvid=d7691d4fd2750054&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
455,فندق إيليت جدة," Al Shatiea, Jeddah",SAR 345,3,null,5082536,8.5, 360 reviews ,Budget Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", includes taxes and charges , Very good ,Reservation possible without a credit card,null,39.1086827139472,21.5946215266674,https://www.booking.com/hotel/sa/fndq-ylyt-jd-jd.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=508253601_201413104_2_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=456&highlighted_blocks=508253601_201413104_2_2_0&hpos=6&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=508253601_201413104_2_2_0__34500&srepoch=1587183007&srpvid=d7691d4fd2750054&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
456,Habitat Hotel All Suites - Jeddah," Al Salamah, Jeddah",SAR 350,3,Only 6 like this left on our site,237748,8.3," 1,395 reviews ",Junior Suite with King Bed,null,null,Max persons: 2,"2 beds
(1 extra-large double, 1 sofa bed)", +SAR 27 taxes and charges  , Very good ,Reservation possible without a credit card,null,39.1565643,21.60747,https://www.booking.com/hotel/sa/habitat.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=23774804_136864474_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=457&highlighted_blocks=23774804_136864474_2_0_0&hpos=7&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=23774804_136864474_2_0_0__35000&srepoch=1587183007&srpvid=d7691d4fd2750054&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
